,Text
29,Novel techniques are proposed towards efficient computation of the decoder module including a \emph{key sampling} approach and a \emph{shared location embedding} approach
30,The proposed module is named \emph{bridging visual representations} (BVR)
31,It can perform in-place and we demonstrate its broad effectess in bridging other representations into prevalent object detection frameworks including RetinaNet Faster R-CNN FCOS and ATSS
32,"The resulting network is named RelationNet++.
"
33,Graph-based Topic Extraction from Vector Embeddings of Text Documents: Application to a Corpus of News Articles: Production of news content is growing at an astonishing rate
34,To help manage and monitor the sheer amount of text there is an increasing need to develop efficient methods that can provinsights into emng content areas and stratify unstructured corpora of text into `topics' that stem intrinsically from content similarity
35,Here we present an unsuperv framework that brings together powerful vector embeddings from natural language processing with tools from multiscalaph partitioning that can reveal natural partitions at different resolutions without making a priori assumptions about the number of clusters in the corpus
36,We show the advantages of graph-based clustering through end-to-end comparisons with other popular clustering and topic modelling methods and also evaluate different text vector embeddings from classic Bag-of-Words to Doc2Vec to the recent transformers based model Bert
37,"This comparatwork is showcased through an analysis of a corpus of US news coverage during the prestial election year of 2016.
"
38,Peak Detection On Data Independent Acquisition Mass Spectrometry Data With Semisuperv Convolutional Transformers: Liquid Chromatography coupled to Mass Spectrometry (LC-MS) based methods are commonly used for high-throughput quantitatmeasurements of the proteome ( the set of all proteins in a sample at a g t
39,Targeted LC-MS produces data in the form of a two-dsional tseries spectrum with the mass to charge ratio of analytes (m/z) on one axis and the retention tfrom the chromatography on the other
40,The elution of a peptof interest produces highly specific patterns across multiple fragment ion traces (extracted ion chromatograms or XICs)
41,In this paper we formulate this peak detection problem as a multivariate tseries segmentation problem and propose a novel approach based on the Transformer archture
42,Here we augment Transformers which are capable of capturing long distance dependencies with a global view with Convolutional Neural Networks (CNNs) which can capture local context important to the task at hand in the form of Transformers with Convolutional Self-Attention
43,We further train this model in a semisuperv manner by adapting state of the art semisuperv image classification techniques for multi-channel tseries data
44,"Experts on a representatLC-MS dataset are benchmarked using manual annotations to showcase the encouraging performance of our method; it outperforms baselneural network archtures and is competitagainst the current state of the art in automated peak detection.
"
45,ReadOnce Transformers: Reusable Representations of Text for Transformers: Whlarge-scale language models are extremely effectwhen dtly ftuned on many end-tasks such models learn to extract information and solve the task simultaneously from end-task supervision
46,This is wasteful as thneral problem of gathering information from a document is mostly task-independent and need not be re-learned from scratch each t Moreover once the information has been captured in a computable representation it can now be re-used across examples leading to faster training and evaluation of models
47,We present a transformer-based approach ReadOnce Transformers that is tra to build such information-capturing representations of text
48,Our model compresses the document into a variable-lh task-independent representation that can now be re-used in different examples and tasks thereby requiring a document to only be read once
49,Additionally we extend standard text-to-text models to consume our ReadOnce Representations along with text to solve multiple downstream tasks
50,We show our task-independent representations can be used for multi-hop QA abstractQA and summarization
51,"We observe 2x-5x speedups compared to standard text-to-text models whalso being able to handle long documents that would normally exceed the lh limit of current models.
"
52,Inducing Taxonomic Knowl from Pretra Transformers: We present a method for inducing taxonomic trees from pretra transformers
53,G a set of input terms we assign a score for the lihood that each pair of terms forms a parent-child relation
54,To produce a tree from pairwparent-child  scores we treat this as a graph optimization problem and output the maximum spanning tree
55,We train the model by funing it on parent-child relations from subtrees of WordNet and test on non-overlapping subtrees
56,In addition we incorporate semi-structured definitions from the web to further improve performance
57,"On the task of inducing subtrees of WordNet the model achieves 66.0 ancestor F_1 a 10.4 point absolute increase over the previous best published result on this task.
"
58,Multi-Unit Transformers for Neural MachTranslation: Transformer models achieve remarkable success in Neural MachTranslation
59,Many efforts have been devoted to deepening the Transformer by stacking several units ( a combination of Multd Attentions and FFN) in a cascade whthe investigation over multiple parallel units draws little attention
60,In this paper we propose the Multi-Unit Transformers (MUTE) which aim to promote the expressess of the Transformer by introducing dse and complementary units
61,Specifically we use several parallel units and show that modeling with multiple units improves model performance and introduces dsity
62,Further to better leverage the advantage of the multi-unit setting we design biased module and sequential dependency that guand encourage complementars among different units
63,Expertal results on three machtranslation tasks the NIST Che-to-English WMT'14 English-to-German and WMT'18 Che-to-English show that the MUTE models significantly outperform the Transformer-Base by up to +1.52 +1.90 and +1.10 BLEU points with only a mild drop in inference speed (about 3.1%)
64,In addition our methods also surpass the Transformer-Big model with only 54\% of its parameters
65,"These results demonstrate the effectess of the MUTE as well as its efficiency in both the inference process and parameter usage.
"
66,Investigating the True Performance of Transformers in Low-Resource Languages: A Case Study in Automatic Corpus Creation: Transformers represent the state-of-the-art in Natural Language Processing (NLP) in recent years proving effecteven in tasks done in low-resource languages
67,Whpretra transformers for these languages can be made it is challng to measure their true performance and capacity due to the lack of hard benchmark datasets as well as the difficulty and cost of producing them
68,In this paper we present three contributions: First we propose a methodology for automatically producing Natural Language Inference (NLI) benchmark datasets for low-resource languages using published news articles
69,Through this we create and release NewsPH-NLI the first sentence entailment benchmark dataset in the low-resource Filipino language
70,Second we produce new pretra transformers based on the ELECTRA technique to further alleviate the resource scarcity in Filipino benchmarking them on our dataset against other commonly-used transfer learning techniques
71,"Lastly we perform analyses on transfer learning techniques to shed light on their true performance when operating in low-data domains through the use of degradation tests.
"
72,Measuring Systematic Generalization in Neural Proof Generation with Transformers: We are interested in understanding how well Transformer language models (TLMs) can perform reasoning tasks when tra on knowl encoded in the form of natural language
73,We investigate their systematic generalization abilities on a logical reasoning task in natural language which involves reasoning over relationships between entities grounded in first-order logical proofs
74,Specifically we perform soft theorem-proving by leveraging TLMs to generate natural language proofs
75,We test thnerated proofs for logical consistency along with the accuracy of the final inference
76,We observe lh-generalization issues when evaluated on longer-than-tra sequences
77,However we observe TLMs improve their generalization performance after being exposed to longer exhaustproofs
78,In addition we discover that TLMs are able to generalbetter using backward-chaining proofs compared to their forward-chaining counterparts whthey find sier to generate forward chaining proofs
79,We observe that models that are not tra to generate proofs are better at generalizing to problems based on longer proofs
80,This suggests that Transformers have efficient internal reasoning strategies that are harder to interpret
81,"These results highlight the systematic generalization behavior of TLMs in the context of logical reasoning and we believe this work motivates deeper inspection of their underlying reasoning strategies.
"
82,Parameter Norm Growth During Training of Transformers: The capacity of neural networks lthe wy adopted transformer is known to be very high
83,Evce ng that they learn successfully due to inductbias in the training routtypically some variant of gradient descent (GD)
84,To better understand this bias we study the tendency of transformer parameters to grow in magnitude during training
85,We find both theoretically and empirically that in certain contexts GD increases the parameter l2 norm up to a threshold that itself increases with training-set accuracy
86,This means increasing training accuracy over tenables the norm to increase
87,Empirically we show that the norm grows continuously over pretraining for T5 (Raffel  2019)
88,We show that pretra T5 approximates a semi-discret network with saturated activation functions
89,"Such ""saturated"" networks are known to have a reduced capacity compared to the original network family that can be descr in automata-theoretic terms"
90,This suggests saturation is a new characterization of an inductbias implicit in GD that is of particular interest for NLP
91,"Whour experts focus on transformers our theoretical analystends to other archtures with similar formal properties such as feedforward ReLU networks.
"
92,Deep Transformers with Latent Depth: The Transformer model has achieved state-of-the-art performance in many sequence modeling tasks
93,However how to leverage model capacity with large or variable depths is still an open chall
94,We present a probabilistic framework to automatically learn which layer(s) to use by learning the posterior distributions of layer selection
95,As an extension of this framework we propose a novel method to train one shared Transformer network for multilingual machtranslation with different layer selection posteriors for each language pair
96,The proposed method alleviates the vanishing gradient issue and enables stable training of deep Transformers ( 100 layers)
97,We evaluate on WMT English-German machtranslation and masked language modeling tasks where our method outperforms existing approaches for training deeper Transformers
98,"Experts on multilingual machtranslation demonstrate that this approach can effecty leverage increased model capacity and bring unsal improvement for both many-to-one and one-to-many translation with dse language pairs.
"
99,Empirical Study of Transformers for Source Code: Initially developed for natural language processing (NLP) Transformers are now wy used for source code processing due to the format similarity between source code and text
100,In contrast to natural language source code is strictly structured  follows the syntax of the programming language
101,Several recent works develop Transformer modifications for capturing syntactic information in source code
102,The drawback of these works is that they do not compare to each other and all cons different tasks
103,In this work we conduct a thorough empirical study of the capabilities of Transformers to utilsyntactic information in different tasks
104,We cons three tasks (code completion function naming and bug fixing) and re-implement different syntax-capturing modifications in a unified framework
105,"We show that Transformers are able to make meaningful predictions based purely on syntactic information and underlthe best pract of taking the syntactic information into account for improving the performance of the model.
"
106,Calibration of Pre-tra Transformers: Pre-tra Transformers are now ubiquitous in natural language processing but desptheir high end-task performance little is known empirically about whether they are calibrated
107,Specifically do these models' posterior probabilities provan accurate empirical measure of how ly the model is to be correct on a g example? We focus on BERT and RoBERTa in this work and analyze their calibration across three tasks: natural language inference paraphrase detection and commonsense reasoning
108,For each task we cons in-domain as well as challng out-of-domain settings where models face more examples they should be uncertain about
109,"We show that: (1) when used out-of-the-box pre-tra models are calibrated in-domain and compared to basel their calibration error out-of-domain can be as much as 3.5x lower; (2) temperature scaling fectat further reducing calibration error in-domain and using label smoothing to delately increase empirical uncertainty helps calibrate posteriors out-of-domain.
"
110,SubjectQuestion Answering: Deciphering the inner workings of Transformers in the realm of subjectivity: Understanding subjectivity demands reasoning skills beyond the realm of common knowl
111,It requ a machlearning model to process sentt and to perform opinion mining
112,In this work I've explo a recently released dataset for span-selection Question Answering namely SubjQA
113,SubjQA is the first QA dataset that contains questions that ask for subjectopinions corresponding to review paragraphs from six different domains
114,Hence to answer these subjectquestions a learner must extract opinions and process sentt for various domains and additionally align the knowl extracted from a paragraph with the natural language utterances in the corresponding question which together enhance the difficulty of a QA task
115,"The primary goal of this thesis was to investigate the inner workings ( latent representations) of a Transformer-based archture to contribute to a better understanding of these not yet well understood ""black-box"" models"
116,Transformer's hidden representations concerning the true answer span are clustered more closely in vector space than those representations corresponding to erroneous predictions
117,This observation holds across the top three Transformer layers for both objectand subjectquestions and generally increases as a function of layer dsions
118,Moreover the probability to achieve a high cossimilarity among hidden representations in latent space concerning the true answer span tokens is significantly higher for correct compared to incorrect answer span predictions
119,"These results have decisimplications for down-stream applications where it is crucial to know about why a neural network made mistakes and in which point in space and tthe mistake has happened ( to automatically predict correctness of an answer span prediction without the necessity of labeled data).
"
120,Assessing Phrasal Representation and Composition in Transformers: Deep transformer models have pushed performance on NLP tasks to new limits suggesting sophisticated treatment of complex linguistic inputs such as phrases
121,However we have lim understanding of how these models handle representation of phrases and whether this reflects sophisticated composition of phrase meaning lthat done by humans
122,In this paper we present systematic analysis of phrasal representations in state-of-the-art pre-tra transformers
123,We use tests leveraging human judgments of phrase similarity and meaning shift and compare results before and after control of word overlap to tease apart lexical effects versus composition effects
124,We find that phrase representation in these models relies heavily on word content with little evce of nuanced composition
125,"We also tify variations in phrase representation quality across models layers and representation types and make corresponding recommendations for usage of representations from these models.
"
126,Pretra Transformers for Text Ranking: BERT and Beyond: Thal of text ranking is to generate an ordered list of texts retrieved from a corpus in response to a query
127,Although the most common formulation of text ranking is search instances of the task can also be found in many natural language processing applications
128,This survey prov an overview of text ranking with neural network archtures known as transformers of which BERT is the best-known example
129,The combination of transformers and self-superv pretraining has without exaggeration revolution the fields of natural language processing (NLP) information retrieval (IR) and beyond
130,In this survey we prova synthesis of existing work as a single point of entry for practitioners who wish to gain a better understanding of how to apply transformers to text ranking problems and researchers who wish to pursue work in this area
131,We cover a wrange of modern techniques grouped into two high-level categories: transformer models that perform reranking in multi-stage ranking archtures and learned dense representations that attempt to perform ranking dtly
132,There are two themes that pervade our survey: techniques for handling long documents beyond the typical sentence-by-sentence processing approaches used in NLP and techniques for addressing the tradeoff between effectess (result quality) and efficiency (query latency)
133,Although transformer archtures and pretraining techniques are recent innovations many aspects of how they are applied to text ranking are relaty well understood and represent mature techniques
134,"However there remain many open research questions and thus in addition to laying out the foundations of pretra transformers for text ranking this survey also attempts to prognosticate where the field is heading.
"
135,Dissecting Lottery Ticket Transformers: Structural and Behavioral Study of Sparse Neural MachTranslation: Recent work on the lottery ticket hypothesis has produced highly sparse Transformers for NMT whmaintaining BLEU
136,However it is unclear how such pruning techniques affect a model's learned representations
137,By probing Transformers with more and more low-magnitude wts pruned away we find that complex semantic information is first to be degraded
138,Analysis of internal activations reveals that higher layers div most over the course of pruning gradually becoming less complex than their dense counterparts
139,Meanwhearly layers of sparse models begin to perform more encoding
140,"Attention mechanisms remain remarkably consistent as sparsity increases.
"
141,On the Computational Power of Transformers and its Implications in Sequence Modeling: Transformers are being used extensy across several sequence modeling tasks
142,Significant research effort has been devoted to expertally probe the inner workings of Transformers
143,However our conceptual and theoretical understanding of their power and inherent limitations is still nascent
144,In particular the roles of various components in Transformers such as positional encodings attention heads residual connections and feedforward networks are not clear
145,In this paper we take a step towards answering these questions
146,We analyze the computational power as captured by Turing-completeness
147,We first provan alternate and simpler proof to show that vanilla Transformers are Turing-complete and then we prove that Transformers with only positional masking and without any positional encoding are also Turing-complete
148,We further analyze the necessity of each component for the Turing-completeness of the network; interestingly we find that a particular type of residual connection is necessary
149,"We demonstrate the practical implications of our results vperts on machtranslation and synthetic tasks.
"
150,Query-Key Normalization for Transformers: Low-resource language translation is a challng but socially valuable NLP task
151,Building on recent work adapting the Transformer's normalization to this setting we propose QKNorm a normalization technique that modifies the attention mechanism to make the softmax function less prone to arbitrary saturation without sacrificing expressivity
152,Specifically we apply l2 normalization along the head dsion of each query and key matrix prior to multiplying them and then scale up by a learnable parameter instead of dividing by the square root of the embedding dsion
153,"We show improvements averaging 0.928 BLEU over state-of-the-art bilingual benchmarks for 5 low-resource translation pairs from the TED Talks corpus and IWSLT'15.
"
154,EdinburghNLP at WNUT-2020 Task 2: Leveraging Transformers with General Augmentation for Identifying Informatess in COVID-19 Tweets: Twitter has become an important communication channel in t of emncy
155,The ubiquitousness of smartphones enables people to announce an emncy they're observing in real-t Because of this more agencies are interested in programatically monitoring Twitter (disaster relief organizations and news agencies) and therefore recognizing the informatess of a tweet can help filter nofrom large volumes of data
156,In this paper we present our submission for WNUT-2020 Task 2: Identification of informatCOVID-19 English Tweets
157,Our most successful model is an ensemble of transformers including RoBERTa XLNet and BERTweet tra in a semi-superv expertal setting
158,"The proposed system achieves a F1 score of 0.9011 on the test set (ranking 7th on the leaderboard) and shows significant gains in performance compared to a baselsystem using fasttext embeddings.
"
159,On the Ability and Limitations of Transformers to RecognFormal Languages: Transformers have supplanted recurrent models in a large number of NLP tasks
160,However the differences in their abilities to model different syntactic properties remain largely unknown
161,Past works suggest that LSTMs generalvery well on regular languages and have close connections with counter languages
162,In this work we systematically study the ability of Transformers to model such languages as well as the role of its individual components in doing so
163,We first prova construction of Transformers for a subclass of counter languages including well-studied languages such as n-ary Boolean Expressions Dyck-1 and its generalizations
164,In experts we find that Transformers do well on this subclass and their learned mechanism strongly correlates with our construction
165,Perhaps surprisingly in contrast to LSTMs Transformers do well only on a subset of regular languages with degrading performance as we make languages more complex according to a well-known measure of complexity
166,"Our analysis also prov insights on the role of self-attention mechanism in modeling certain behaviors and the influence of positional encoding schemes on the learning and generalization abilities of the model.
"
167,Learning to Fuse Sentences with Transformers for Summarization: The ability to fuse sentences is highly attractfor summarization systems because it is an essential step to produce succinct abstracts
168,However to date summars can fail on fusing sentences
169,They tend to produce few summary sentences by fusion or generate incorrect fusions that lead the summary to fail to retain the original meaning
170,In this paper we explore the ability of Transformers to fuse sentences and propose novel algorithms to enhance their ability to perform sentence fusion by leveraging the knowl of points of correspondence between sentences
171,Through extensexperts we investigate the effects of different design cho on Transformer's performance
172,"Our findings highlight the importance of modeling points of correspondence between sentences for effectsentence fusion.
"
173,Convolutional Neural Networks for Global Human Settlements Mapping from Sent-2 SatellImagery: Spatially consistent and up-to-date maps of human settlements are crucial for addressing policies related to urbanization and sustainability especially in the era of an increasingly urban world.The availability of open and free Sent-2 data of the Copernicus Earth Observation program offers a new opportunity for wall-to-wall mapping of human settlements at a global scale.This paper presents a deep-learning-based framework for a fully automated extraction of built-up areas at a spatial resolution of 10 m from a global composof Sent-2 imagery.A multi-neuro modeling methodology building on a simple Convolution Neural Networks archture for p-wimage classification of built-up areas is developed.The core features of the proposed model are the image patch of s5 x 5 ps adequate for describing built-up areas from Sent-2 imagery and the lightwt topology with a total number of 1448578 trainable parameters and 4 2D convolutional layers and 2 flattened layers.The deployment of the model on thobal Sent-2 image composprov the most deta and complete map reporting about built-up areas for reference year 2018
174,"The validation of the results with an independent reference data-set of building footprints covering 277 s across the world establishes the reliability of the built-up layer produced by the proposed framework and the model robustness.
"
175,Ground Roll Suppression using Convolutional Neural Networks: Seismic data processing plays a major role in seismploration as it conditions much of the seismic interpretation performance
176,In this context generating reliable post-stack seismic data depends also on disposing of an efficient pre-stack noattenuation tool
177,Here we tacklound roll noone of the most challng and common no observed in pre-stack seismic data
178,Sincound roll is character by relatlow frequencies and high amplitudes most commonly used approaches for its suppression are based on frequency-amplitude filters for ground roll characteristic bands
179,However when signal and noshare the same frequency ranges these methods usually del also signal suppression or residual no In this paper we take advantage of the highly non-lr features of convolutional neural networks and propose to use different archtures to detect ground roll in shot gathers and ultimately to suppress them using conditional generatadversarial networks
180,Additionally we propose metrics to evaluatound roll suppression and report strong results compared to expert filtering
181,"Finally we discuss generalization of tra models for similar and different geologies to better understand the feasibility of our proposal in real applications.
"
182,Robust Template Matching via Hierarchical Convolutional Features from a Shape Biased CNN: Finding a template in a search image is an important task underlying many computer vision applications
183,Recent approaches perform template matching in a deep feature space produced by a convolutional neural network (CNN) which is found to provmore tolerance to changes in appearance
184,In this article we investigate hancing the CNN's encoding of shape information can produce more distinguishable features that improve the performance of template matching
185,This investigation results in a new template matching method that produces state-of-the-art results on a standard benchmark
186,To confirm these results we also create a new benchmark and show that the proposed method also outperforms existing techniques on this new dataset
187,"We further applied the proposed method to tracking and achieved more robust results.
"
188,The GCE in a New Light: Dtangling the γ-ray Sky with Bayesian Graph Convolutional Neural Networks: A fundamental question regarding the Galactic Center Excess (GCE) is whether the underlying structure is point-lor smooth
189,This debate often framed in terms of a millond pulsar or annihilating dark matter (DM) origin for the emission awaits a conclusresolution
190,In this work we w in on the problem using Bayesian graph convolutional neural networks
191,In simulated data our neural network (NN) is able to reconstruct the flux of inner Galaxy emission components to on average ∼0.5% comparable to the non-Poissonian template fit (NPTF)
192,When applied to the actual Fermi-LAT data we find that the NN estimates for the flux fractions from the background templates are consistent with the NPTF; however the GCE is almost enty attributed to smooth emission
193,Whsuggestwe do not claim a definitresolution for the GCE as the NN tends to underestimate the flux of point-sources peaked near the 1 detection threshold
194,Yet the technique displays robustness to a number of systematics including reconstructing injected DM diffuse mismodeling and unmodeled north-south asymmetries
195,"So whthe NN is hinting at a smooth origin for the GCE at present with further refents we argue that Bayesian Deep Learning is well placed to resolve this DM mystery.
"
196,Deformable Convolutional LSTM for Human Body Emotion Recognition: People represent theotions in a myriad of ways
197,Among the most important ones is whole body expressions which have many applications in different fields such as human-computer interaction (HCI)
198,One of the most important challs in human emotion recognition is that people express the same feeling in various ways using their face and their body
199,Recently many methods have tried to overcome these challs using Deep Neural Networks (DNNs)
200,However most of these methods were based on images or on facial expressions only and did not cons deformation that may happen in the images such as scaling and rotation which can adversely affect the recognition accuracy
201,In this work motivated by recent researches on deformable convolutions we incorporate the deformable behavior into the core of convolutional long short-term memory (ConvLSTM) to improve robustness to these deformations in the image and consequently improve its accuracy on the emotion recognition task from of arbitrary lh
202,"We dperts on the GEMEP dataset and achieved state-of-the-art accuracy of 98.8% on the task of whole human body emotion recognition on the validation set.
"
203,Nonlr State-Space Generalizations of Graph Convolutional Neural Networks: Graph convolutional neural networks (GCNNs) learn compositional representations from network data by nesting lr graph convolutions into nonlrities
204,In this work we approach GCNNs from a state-space perspectrevealing that thaph convolutional module is a minimalistic lr state-space model in which the state update matrix is thaph shift operator
205,We show this state update may be problematic because it is nonparametric and depending on thaph spectrum it may explode or vanish
206,Therefore the GCNN has to trade its degrees of freedom between extracting features from data and handling these instabilities
207,To improve such trade-off we propose a novel family of nodal aggregation rules that aggregates node features within a layer in a nonlr state-space parametric fashion and allowing for a better trade-off
208,We develop two archtures within this family insp by the recurss with and without nodal gating mechanisms
209,The proposed solutions generalthe GCNN and provan additional handle to control the state update and learn from the data
210,"Numerical results on source localization and authorship attribution show the superiority of the nonlr state-spacneralization models over the baselGCNN.
"
211,A Simple Spectral Failure Mode for Graph Convolutional Networks: We present a simplneratmodel in which spectral graph embedding for subsequent inference succeeds whereas unsuperv graph convolutional networks (GCN) fail
212,"Thometrical insight is that the GCN is unable to look beyond the first non-informatspectral dsion.
"
213,A Multi-task Two-stream Spatiotemporal Convolutional Neural Network for ConvectStorm Nowcasting: Thal of convectstorm nowcasting is local prediction of severe and immt convectstorms
214,Here we cons the convectstorm nowcasting problem from the perspectof machlearning
215,First we use a p-wsampling method to construct spatiotemporal features for nowcasting and flexibly adjust the proportions of positand negatsamples in the training set to mitigate class-imbalance issues
216,Second we employ a conctwo-stream convolutional neural network to extract spatial and temporal cues for nowcasting
217,This simplifies the network structure reduces the training trequent and improves classification accuracy
218,The two-stream network used both radar and satelldata
219,In the resulting two-stream fused convolutional neural network some of the parameters are entered into a single-stream convolutional neural network but it can learn the features of many data
220,Further consing the relevance of classification and regression tasks we develop a multi-task learning strategy that predicts the labels used in such tasks
221,We integrate two-stream multi-task learning into a single convolutional neural network
222,"G the compact archture this network is more efficient and easier to optimthan existing recurrent neural networks.
"
223,Triple-view Convolutional Neural Networks for COVID-19 Diagnosis with Chest X-ray: The Coronavirus Dse 2019 (COVID-19) is affecting increasingly large number of people worldwposing significant stress to the health care systems
224,Early and accurate diagnosis of COVID-19 is critical in screening of infected patients and breaking the person-to-person transmission
225,Chest X-ray (CXR) based computer-a diagnosis of COVID-19 using deep learning becomes a promising solution to thd
226,However the dse and various radiographic features of COVID-19 make it challng especially when consing each CXR scan typically only generates one single image
227,Data scarcity is another issue since collecting large-scale medical CXR data set could be difficult at present
228,Therefore how to extract more informatand relevant features from the lim samples available becomes essential
229,To address these issues unltraditional methods processing each CXR image from a single view this paper proposes triple-view convolutional neural networks for COVID-19 diagnosis with CXR images
230,Specifically the proposed networks extract individual features from three views of each CXR image  the left lung view the right lung view and the overall view in three streams and then integrate them for joint diagnosis
231,The proposed network structure respects the anatomical structure of human lungs and is well aligned with clinical diagnosis of COVID-19 in pract In addition the labeling of the views does not requexperts' domain knowl which is needed by many existing methods
232,"The expertal results show that the proposed method achieves state-of-the-art performance especially in the more challng three class classification task and admits widnerality and high flexibility.
"
233,Deep multi-stations weather forecasting: explainable recurrent convolutional neural networks: Deep learning applied to weather forecasting has started gaining popularity because of the progress achieved by data-dr models
234,The present paper compares four different deep learning archtures to perform weather prediction on daily data gathered from 18 cities across Europe and spanned over a period of 15 years
235,The four proposed models investigate the different type of input representations ( tensorial unistream  multi-stream matr) as well as the combination of convolutional neural networks and LSTM ( cascaded  ConvLSTM)
236,In particular we show that a model that uses a multi-stream input representation and that processes each lag individually comb with a cascaded convolution and LSTM is capable of better forecasting than the other compared models
237,"In addition we show that visualization techniques such as occlusion analysis and score maximization can gan additional insight on the most important features and cities for predicting a particular target feature and city.
"
238,Processing of incomplete images by (graph) convolutional neural networks: We investigate the problem of training neural networks from incomplete images without replacing missing values
239,For this purpose we first represent an image as a graph in which missing ps are enty ignored
240,Thaph image representation is processed using a spatial graph convolutional network (SGCN) -- a type of graph convolutional networks which is a proper generalization of classical CNNs operating on images
241,On one hand our approach avoids the problem of missing data imputation whon the other hand there is a natural correspondence between CNNs and SGCN
242,"Experts confirm that our approach performs better than analogical CNNs with the imputation of missing values on typical classification and reconstruction tasks.
"
243,Peak Detection On Data Independent Acquisition Mass Spectrometry Data With Semisuperv Convolutional Transformers: Liquid Chromatography coupled to Mass Spectrometry (LC-MS) based methods are commonly used for high-throughput quantitatmeasurements of the proteome ( the set of all proteins in a sample at a g t
244,Targeted LC-MS produces data in the form of a two-dsional tseries spectrum with the mass to charge ratio of analytes (m/z) on one axis and the retention tfrom the chromatography on the other
245,The elution of a peptof interest produces highly specific patterns across multiple fragment ion traces (extracted ion chromatograms or XICs)
246,In this paper we formulate this peak detection problem as a multivariate tseries segmentation problem and propose a novel approach based on the Transformer archture
247,Here we augment Transformers which are capable of capturing long distance dependencies with a global view with Convolutional Neural Networks (CNNs) which can capture local context important to the task at hand in the form of Transformers with Convolutional Self-Attention
248,We further train this model in a semisuperv manner by adapting state of the art semisuperv image classification techniques for multi-channel tseries data
249,"Experts on a representatLC-MS dataset are benchmarked using manual annotations to showcase the encouraging performance of our method; it outperforms baselneural network archtures and is competitagainst the current state of the art in automated peak detection.
"
250,Dyslexia detection from EEG signals using SSA component correlation and Convolutional Neural Networks: Objectdyslexia diagnosis is not a straighforward task since it is traditionally performed by means of the intepretation of different behavioural tests
251,Moreover these tests are only applicable to readers
252,This way early diagnosis requ the use of specific tasks not only related to reading
253,Thus the use of Electroencephalography (EEG) constitutes an alternatfor an objectand early diagnosis that can be used with pre-readers
254,In this way the extraction of relevant features in EEG signals results crucial for classification
255,However the tification of the most relevant features is not straighforward and predef statistics in the tor frequency domain are not always discriminant enough
